SMILES,Complexity,MolecularWeight,XLogP,RefLikeness
CCCCCCCCC(CCCCCCCC)OS(=O)(=O)O,311.6,336.5,5.7,0.0
CCCCCCCCCCCCCCSOS(=O)(=O)O,291.5,326.5,5.2,0.02
CCCCCCCCCCCCCCCCCS(=O)(=O)O,299.2,320.5,5.7,0.06
CCCCCCCCCCCCCCCC=COS(=O)(=O)O,349.7,334.5,5.8,0.07
CCCCCCCCCCCCCCCS(=O)(=O)O,273.1,292.5,5.0,0.06
CCCCCCCCCCCCCCCCCCCS(=O)(=O)O,325.5,348.6,6.5,0.06
CCCC.CCCCCCCCCCCCOS(=O)(=O)O,274.0,324.5,5.5,0.05
CCCCCCCCCCCCCCC(C)OS(=O)(=O)O,314.2,322.5,5.3,0.0
CCCCCCCCCCCCCC.C=CCOS(=O)(=O)O,300.6,336.5,5.7,0.01
CCCCCCCCCCCCCCCCS(=O)(=O)O,286.1,306.5,5.4,0.06
CCCCCCCCCCCCCCCCCCS(=O)(=O)O,312.3,334.6,6.1,0.06
CCCCCCCCCCCCCCCCOS(=O)(=S)O,302.6,338.6,5.6,0.0
CCCCCCC=CCCCCCCCCOS(=O)(=O)O,336.2,320.5,5.1,0.05
